Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Most_Wickets_in_Match,Runs_in_Best_Bowling_Match
2023.0,Sandeep Sharma,12.0,2.0,2.0,2.0,0.0,6.0,33.33,0.0,0.0,0.0,0.0,4.0,0.0,12.0,276.0,396.0,10.0,39.6,8.61,27.6,0.0,0.0,2.0,25.0
2022.0,Sandeep Sharma,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,120.0,153.0,2.0,76.5,7.65,60.0,0.0,0.0,1.0,18.0
2021.0,Sandeep Sharma,7.0,1.0,8.0,8.0,8.0,7.0,114.28,0.0,0.0,1.0,0.0,1.0,0.0,7.0,141.0,203.0,3.0,67.66,8.63,47.0,0.0,0.0,1.0,20.0
2020.0,Sandeep Sharma,13.0,3.0,12.0,9.0,6.0,15.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,312.0,374.0,14.0,26.71,7.19,22.28,0.0,0.0,3.0,34.0
2019.0,Sandeep Sharma,11.0,2.0,6.0,5.0,0.0,3.0,200.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,256.0,352.0,12.0,29.33,8.25,21.33,0.0,0.0,3.0,19.0
2018.0,Sandeep Sharma,12.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,264.0,333.0,12.0,27.75,7.56,22.0,0.0,0.0,2.0,17.0
2017.0,Sandeep Sharma,13.0,4.0,7.0,5.0,0.0,6.0,116.66,0.0,0.0,0.0,0.0,3.0,0.0,13.0,288.0,398.0,17.0,23.41,8.29,16.94,1.0,0.0,4.0,20.0
2016.0,Sandeep Sharma,14.0,4.0,8.0,5.0,0.0,9.0,88.88,0.0,0.0,0.0,0.0,2.0,0.0,14.0,300.0,366.0,15.0,24.4,7.32,20.0,0.0,0.0,2.0,11.0
2015.0,Sandeep Sharma,14.0,2.0,9.0,7.0,9.0,14.0,64.28,0.0,0.0,1.0,0.0,2.0,0.0,14.0,300.0,350.0,13.0,26.92,7.0,23.07,1.0,0.0,4.0,25.0
2014.0,Sandeep Sharma,11.0,1.0,2.0,2.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,241.0,354.0,18.0,19.66,8.81,13.38,0.0,0.0,3.0,15.0
2013.0,Sandeep Sharma,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.0,119.0,8.0,14.87,7.43,12.0,0.0,0.0,3.0,21.0
2024.0,Sanju Samson,15.0,4.0,531.0,86.0,48.27,346.0,153.47,0.0,5.0,48.0,24.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,Sanju Samson,14.0,2.0,362.0,66.0,30.17,236.0,153.39,0.0,3.0,25.0,24.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
